order,slot_id,name,variant_count,mission_ids,level,score,primary_service,family,red,yellow,green
1,handoff,Hand-off Mission,0,,2,0.0,mixed,response,assets/icons/red/0001--handoff--hand-off-mission.png,assets/icons/yellow/0001--handoff--hand-off-mission.png,assets/icons/green/0001--handoff--hand-off-mission.png
2,alliance_custom,Custom Alliance Mission,0,,3,0.0,mixed,response,assets/icons/red/0002--alliance_custom--custom-alliance-mission.png,assets/icons/yellow/0002--alliance_custom--custom-alliance-mission.png,assets/icons/green/0002--alliance_custom--custom-alliance-mission.png
3,0,Bin fire,1,0,1,1.58,fire,fire,assets/icons/red/0003--0--bin-fire.png,assets/icons/yellow/0003--0--bin-fire.png,assets/icons/green/0003--0--bin-fire.png
4,1,Container fire,1,1,1,1.72,fire,fire,assets/icons/red/0004--1--container-fire.png,assets/icons/yellow/0004--1--container-fire.png,assets/icons/green/0004--1--container-fire.png
5,2,Burning car,2,2 2/a,1,2.44,fire,fire,assets/icons/red/0005--2--burning-car.png,assets/icons/yellow/0005--2--burning-car.png,assets/icons/green/0005--2--burning-car.png
6,3,Burning motorbike,2,3 3/a,1,2.41,fire,fire,assets/icons/red/0006--3--burning-motorbike.png,assets/icons/yellow/0006--3--burning-motorbike.png,assets/icons/green/0006--3--burning-motorbike.png
7,4,Burning grass,1,4,1,1.79,fire,fire,assets/icons/red/0007--4--burning-grass.png,assets/icons/yellow/0007--4--burning-grass.png,assets/icons/green/0007--4--burning-grass.png
8,5,Room fire,0,,1,0.0,mixed,fire,assets/icons/red/0008--5--room-fire.png,assets/icons/yellow/0008--5--room-fire.png,assets/icons/green/0008--5--room-fire.png
9,6,Garden shed fire,1,6,1,3.36,fire,fire,assets/icons/red/0009--6--garden-shed-fire.png,assets/icons/yellow/0009--6--garden-shed-fire.png,assets/icons/green/0009--6--garden-shed-fire.png
10,7,Burning leaves,1,7,1,1.81,fire,fire,assets/icons/red/0010--7--burning-leaves.png,assets/icons/yellow/0010--7--burning-leaves.png,assets/icons/green/0010--7--burning-leaves.png
11,8,Bulk rubbish fire,1,8,1,1.82,fire,fire,assets/icons/red/0011--8--bulk-rubbish-fire.png,assets/icons/yellow/0011--8--bulk-rubbish-fire.png,assets/icons/green/0011--8--bulk-rubbish-fire.png
12,9,Bale of straw fire,1,9,1,1.88,fire,fire,assets/icons/red/0012--9--bale-of-straw-fire.png,assets/icons/yellow/0012--9--bale-of-straw-fire.png,assets/icons/green/0012--9--bale-of-straw-fire.png
13,10,Tractor fire,1,10,1,2.36,fire,fire,assets/icons/red/0013--10--tractor-fire.png,assets/icons/yellow/0013--10--tractor-fire.png,assets/icons/green/0013--10--tractor-fire.png
14,11,Phonebox on fire,1,11,1,1.86,fire,fire,assets/icons/red/0014--11--phonebox-on-fire.png,assets/icons/yellow/0014--11--phonebox-on-fire.png,assets/icons/green/0014--11--phonebox-on-fire.png
15,12,Tree on the road,1,12,1,3.63,fire,fire,assets/icons/red/0015--12--tree-on-the-road.png,assets/icons/yellow/0015--12--tree-on-the-road.png,assets/icons/green/0015--12--tree-on-the-road.png
16,13,Burning truck,2,13 13/a,1,3.99,fire,fire,assets/icons/red/0016--13--burning-truck.png,assets/icons/yellow/0016--13--burning-truck.png,assets/icons/green/0016--13--burning-truck.png
17,14,Little field fire,1,14,1,3.76,fire,fire,assets/icons/red/0017--14--little-field-fire.png,assets/icons/yellow/0017--14--little-field-fire.png,assets/icons/green/0017--14--little-field-fire.png
18,15,Little forest fire,1,15,1,2.77,fire,fire,assets/icons/red/0018--15--little-forest-fire.png,assets/icons/yellow/0018--15--little-forest-fire.png,assets/icons/green/0018--15--little-forest-fire.png
